,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25
Topic 1,0.9999998807907104,,,0.7872465252876282,,0.706462562084198,,0.7943641543388367,0.7345866560935974,,0.7752171754837036,,,0.7311755418777466,0.7107359766960144,,,0.7022418975830078,0.7205595970153809,,,0.7288352251052856,,,
Topic 2,,0.9999998807907104,0.7103827595710754,0.7037197351455688,,,,,,,0.7621749639511108,0.7850766181945801,,,,,,,0.7199488878250122,0.7025044560432434,,0.7370847463607788,0.7050943374633789,,0.7338345050811768
Topic 3,,0.7103827595710754,,,,,0.7463217973709106,,0.7071149349212646,,0.7526742815971375,,,,,,,,,,0.7060596346855164,,,,0.7149282693862915
Topic 4,0.7872465252876282,0.7037197351455688,,,0.7223178744316101,0.7323427200317383,,0.739830493927002,0.7294825315475464,,0.730965256690979,0.7077201008796692,0.7383811473846436,0.719210147857666,0.7192282676696777,,,0.7174845933914185,,,,0.7543837428092957,0.7012238502502441,,0.7001168727874756
Topic 5,,,,0.7223178744316101,,,,,,,,,,,0.7481561899185181,,,,,,,,0.7227530479431152,,
Topic 6,0.706462562084198,,,0.7323427200317383,,0.9999999403953552,,0.7411081790924072,,,,,0.7321298122406006,0.727401614189148,0.7075356245040894,,,,0.7401154041290283,,,,,,
Topic 7,,,0.7463217973709106,,,,,0.714330792427063,0.7479483485221863,,0.7426210641860962,0.7083878517150879,,,,,,,0.7379111647605896,,0.8304429054260254,0.7154421806335449,,0.7808668613433838,0.7765422463417053
Topic 8,0.7943641543388367,,,0.739830493927002,,0.7411081790924072,0.714330792427063,,0.7766122221946716,,0.792972207069397,0.7028778195381165,0.7020349502563477,0.7314541339874268,0.7474387884140015,,,0.706868052482605,0.7416213154792786,,,0.7449150085449219,,,
Topic 9,0.7345866560935974,,0.7071149349212646,0.7294825315475464,,,0.7479483485221863,0.7766122221946716,,0.7436310052871704,0.7597758173942566,0.7396202087402344,,,0.7050991654396057,,,,0.703569233417511,,,0.708824634552002,,0.7128162980079651,0.7242346405982971
Topic 10,,,,,,,,,0.7436310052871704,,,,,,,,,,,,,,,,0.7168207168579102
Topic 11,0.7752171754837036,0.7621749639511108,0.7526742815971375,0.730965256690979,,,0.7426210641860962,0.792972207069397,0.7597758173942566,,,0.7424322366714478,0.7387152910232544,,0.7332928776741028,,,0.7370879054069519,0.7743304371833801,,,0.7291266322135925,0.7129120826721191,,0.7234768867492676
Topic 12,,0.7850766181945801,,0.7077201008796692,,,0.7083878517150879,0.7028778195381165,0.7396202087402344,,0.7424322366714478,,0.7243203520774841,,,,,0.7097915410995483,,0.7257803678512573,,0.7003093957901001,,,0.7458049058914185
Topic 13,,,,0.7383811473846436,,0.7321298122406006,,0.7020349502563477,,,0.7387152910232544,0.7243203520774841,,0.7070843577384949,0.7642724514007568,,,,0.7179613709449768,,,0.731121301651001,,,
Topic 14,0.7311755418777466,,,0.719210147857666,,0.727401614189148,,0.7314541339874268,,,,,0.7070843577384949,0.9999999403953552,0.7885615825653076,,0.7086060047149658,0.7441931366920471,0.7255666851997375,,,0.7730038166046143,,,
Topic 15,0.7107359766960144,,,0.7192282676696777,0.7481561899185181,0.7075356245040894,,0.7474387884140015,0.7050991654396057,,0.7332928776741028,,0.7642724514007568,0.7885615825653076,,0.7407652735710144,0.7069940567016602,0.7312501668930054,0.7761783599853516,,,0.7858134508132935,0.777912974357605,,0.7239212393760681
Topic 16,,,,,,,,,,,,,,,0.7407652735710144,0.9999999403953552,,,,,,,0.7215232849121094,,
Topic 17,,,,,,,,,,,,,,0.7086060047149658,0.7069940567016602,,,0.7489534616470337,,,,0.724625825881958,,,
Topic 18,0.7022418975830078,,,0.7174845933914185,,,,0.706868052482605,,,0.7370879054069519,0.7097915410995483,,0.7441931366920471,0.7312501668930054,,0.7489534616470337,0.9999999403953552,0.726481556892395,0.7047524452209473,,0.7476756572723389,0.7346125841140747,,0.7297834157943726
Topic 19,0.7205595970153809,0.7199488878250122,,,,0.7401154041290283,0.7379111647605896,0.7416213154792786,0.703569233417511,,0.7743304371833801,,0.7179613709449768,0.7255666851997375,0.7761783599853516,,,0.726481556892395,,,0.7738631367683411,0.7815034985542297,0.7432253956794739,0.7335150837898254,0.7524434924125671
Topic 20,,0.7025044560432434,,,,,,,,,,0.7257803678512573,,,,,,0.7047524452209473,,,,0.7143849730491638,,,0.7020019292831421
Topic 21,,,0.7060596346855164,,,,0.8304429054260254,,,,,,,,,,,,0.7738631367683411,,,0.7326996326446533,,0.793574333190918,0.743516206741333
