,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10,Topic 11,Topic 12,Topic 13,Topic 14,Topic 15,Topic 16,Topic 17,Topic 18,Topic 19,Topic 20,Topic 21,Topic 22,Topic 23,Topic 24,Topic 25
Topic 1,,,0.8012028932571411,0.7432291507720947,0.744231104850769,0.7194205522537231,0.7663224935531616,0.7631659507751465,,0.7584143877029419,0.7235409021377563,0.7492392063140869,,0.7282603979110718,0.7268043756484985,,0.7382826209068298,0.7796733379364014,0.7939280271530151,,,0.7983859181404114,,,0.7671977281570435
Topic 2,,,,,,,,,,,,,,,,,,,,,,,,,
Topic 3,0.8012028932571411,,,,0.7753274440765381,,0.8009790182113647,,,,0.7074465751647949,,0.7328822016716003,,0.7195302248001099,,,,0.7180259227752686,,,0.7252558469772339,,,0.7835781574249268
Topic 4,0.7432291507720947,,,0.9999998807907104,,0.7800575494766235,,0.7256408929824829,,0.7217159271240234,,,,,,,,0.701414942741394,,,,0.7197242975234985,,,0.7125805020332336
Topic 5,0.744231104850769,,0.7753274440765381,,,,0.7756959795951843,0.7378133535385132,,0.7414908409118652,0.7774659395217896,,0.7120312452316284,0.7300694584846497,0.737101674079895,,0.7468134164810181,0.72444748878479,,0.7606548070907593,,0.7159522771835327,,,0.805518388748169
Topic 6,0.7194205522537231,,,0.7800575494766235,,,0.7066066265106201,0.7111473083496094,,,,0.7310094833374023,,,,,0.7279311418533325,0.7519868016242981,0.7014492750167847,,,0.7127628326416016,,,0.7489873170852661
Topic 7,0.7663224935531616,,0.8009790182113647,,0.7756959795951843,0.7066066265106201,0.9999998807907104,0.715164065361023,,0.7005482316017151,,,0.7762099504470825,0.7254365682601929,0.7203149795532227,,0.7363784313201904,,,,,0.7392634749412537,,,0.769230842590332
Topic 8,0.7631659507751465,,,0.7256408929824829,0.7378133535385132,0.7111473083496094,0.715164065361023,,,0.7471150159835815,0.8001141548156738,0.7788538336753845,0.7201402187347412,,0.7695935964584351,0.7565903067588806,0.7270395755767822,0.8101643919944763,0.7020543217658997,0.7219032049179077,,0.8007518649101257,,,0.7490900158882141
Topic 9,,,,,,,,,,,,,,,,,,,,,,,,,
Topic 10,0.7584143877029419,,,0.7217159271240234,0.7414908409118652,,0.7005482316017151,0.7471150159835815,,,0.7594642639160156,0.7481054067611694,,,0.7510215044021606,0.7107064723968506,,0.7609180212020874,,0.7255293130874634,,0.7282260060310364,,,0.7132552862167358
Topic 11,0.7235409021377563,,0.7074465751647949,,0.7774659395217896,,,0.8001141548156738,,0.7594642639160156,,0.7334129810333252,0.7257972359657288,,0.7194156646728516,,0.7191802263259888,0.7527936100959778,,,,0.7511504292488098,,,0.7445783019065857
Topic 12,0.7492392063140869,,,,,0.7310094833374023,,0.7788538336753845,,0.7481054067611694,0.7334129810333252,,0.7117483019828796,,0.7830237150192261,,0.7065510749816895,0.763081967830658,0.7044675350189209,,,0.7819676995277405,,,0.7145792245864868
Topic 13,,,0.7328822016716003,,0.7120312452316284,,0.7762099504470825,0.7201402187347412,,,0.7257972359657288,0.7117483019828796,,0.7076600193977356,0.7739830017089844,,0.7707303762435913,0.7356547117233276,0.756445050239563,,,0.7514075636863708,,,0.7568638324737549
Topic 14,0.7282603979110718,,,,0.7300694584846497,,0.7254365682601929,,,,,,0.7076600193977356,,0.7293545603752136,0.7285043001174927,0.7350707054138184,,0.7529619932174683,0.7712238430976868,0.7471867799758911,0.7161878347396851,,,
Topic 15,0.7268043756484985,,0.7195302248001099,,0.737101674079895,,0.7203149795532227,0.7695935964584351,,0.7510215044021606,0.7194156646728516,0.7830237150192261,0.7739830017089844,0.7293545603752136,,0.7545032501220703,0.7539808750152588,0.8011001348495483,0.7106606960296631,,,0.791549801826477,,,0.7647314071655273
Topic 16,,,,,,,,0.7565903067588806,,0.7107064723968506,,,,0.7285043001174927,0.7545032501220703,,0.7696912884712219,0.7657498121261597,,0.7445962429046631,,0.7704528570175171,,,
