Doc,Emotions,Topics
0,sadness | neutral,crime | environment | health | entertainment | money
1,anger | neutral,technology | crime | environment | entertainment | money
2,anger | sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
3,anger | neutral,crime | entertainment | money | environment
4,anger | fear | neutral,environment | politics | crime | health | entertainment | education | money
5,disgust | anger | fear | neutral,environment | entertainment | education | crime
6,anger | fear | joy | neutral,technology | environment | crime | politics | entertainment | education | money
7,anger | neutral,sports | technology | crime | politics | environment | health | entertainment | money
8,sadness | neutral,crime | politics | environment | entertainment | money
9,anger | surprise | neutral,technology | environment | politics | crime | entertainment | money
10,anger | fear | neutral,technology | crime | environment | entertainment | education | money
11,anger | neutral,technology | environment | politics | crime | health | entertainment | money
12,sadness | surprise | joy | neutral | anger,technology | crime | politics | environment | entertainment
13,anger | neutral,technology | crime | environment | entertainment | money
14,anger | fear | neutral,crime | entertainment | environment
15,disgust | sadness | joy | neutral | anger,politics | crime | environment | education | money
16,anger | fear | neutral,technology | crime | politics | environment | entertainment | money
17,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment
18,anger | neutral,environment | entertainment | crime
19,sadness | neutral,technology | politics | crime | environment | entertainment | money
20,anger | joy | neutral,technology | environment | crime | health | entertainment | money
21,disgust | anger | neutral,crime | entertainment | environment
22,disgust | fear | sadness | neutral | anger,environment | crime | politics | health | entertainment | money
23,sadness | joy | neutral,politics | crime | environment | entertainment | money
24,disgust | fear | sadness | neutral,crime | environment | health | entertainment | money
25,disgust | fear | neutral,crime | entertainment | money | environment
26,anger | sadness | joy | neutral,technology | environment | crime | health | entertainment | money
27,fear | neutral,environment | politics | crime | health | entertainment | money
28,fear | sadness | joy | neutral | anger,crime | politics | environment | health | entertainment | money
29,anger | joy | neutral,technology | crime | environment | politics | entertainment | money
30,anger | fear | joy | neutral,technology | environment | crime | entertainment | money
31,anger | surprise | neutral,crime | politics | environment | entertainment | money
32,anger | neutral,technology | environment | crime | health | entertainment | money
33,disgust | anger | surprise | neutral,crime | politics | environment | health | entertainment | money
34,disgust | anger | joy | neutral,technology | environment | crime | health | entertainment | education | money
35,disgust | anger | surprise | neutral,technology | crime | environment | health | entertainment | education | money
36,anger | neutral,technology | environment | crime | entertainment | education | money
37,anger | neutral,technology | environment | crime | entertainment | money
38,sadness | joy | neutral,technology | politics | environment | crime | health | entertainment | money
39,neutral,environment | entertainment | money | technology
40,disgust | anger | sadness | neutral,technology | environment | crime | politics | entertainment | money
41,disgust | sadness | fear | neutral,technology | crime | environment | entertainment | money
42,sadness | neutral,sports | technology | environment | crime | health | entertainment
43,anger | neutral,technology | environment | crime | entertainment | education | money
44,anger | neutral,technology | environment | crime | politics | entertainment | money
45,anger | neutral,technology | politics | environment | crime | entertainment | education | money
46,disgust | anger | fear | neutral,crime | entertainment | money | environment
47,anger | sadness | neutral,technology | crime | politics | environment | health | entertainment
48,neutral,technology | environment | crime | entertainment | money
49,disgust | neutral,technology | crime | politics | environment | entertainment | money
50,anger | joy | neutral,environment | politics | crime | entertainment | money
51,disgust | anger | fear | neutral,technology | crime | environment | health | entertainment
52,sadness | fear | neutral,technology | politics | environment | crime | entertainment | education | money
53,disgust | fear | neutral,technology | politics | environment | crime | health | entertainment | money
54,anger | fear | neutral,crime | politics | environment | entertainment | money
55,neutral,technology | crime | environment | entertainment | education | money
56,anger | neutral,environment | entertainment | education | crime
57,anger | joy | neutral,sports | crime | environment | entertainment | money
