,Doc,Emotions,Topics
0,N000,sadness | neutral,crime | environment | health | entertainment | money
1,N001,anger | neutral,technology | crime | environment | entertainment | money
2,N002,anger | sadness | fear | neutral,technology | environment | crime | health | entertainment | education | money
3,N003,anger | neutral,crime | entertainment | money | environment
4,N004,anger | fear | neutral,environment | politics | crime | health | entertainment | education | money
5,N005,disgust | anger | fear | neutral,environment | entertainment | education | crime
6,N006,anger | fear | joy | neutral,technology | environment | crime | politics | entertainment | education | money
7,N007,anger | neutral,sports | technology | crime | politics | environment | health | entertainment | money
8,N008,sadness | neutral,crime | politics | environment | entertainment | money
9,N009,anger | surprise | neutral,technology | environment | politics | crime | entertainment | money
10,N010,anger | fear | neutral,technology | crime | environment | entertainment | education | money
11,N011,anger | neutral,technology | environment | politics | crime | health | entertainment | money
12,N012,sadness | surprise | joy | neutral | anger,technology | crime | politics | environment | entertainment
13,N013,anger | neutral,technology | crime | environment | entertainment | money
14,N014,anger | fear | neutral,crime | entertainment | environment
15,N015,disgust | sadness | joy | neutral | anger,politics | crime | environment | education | money
16,N016,anger | fear | neutral,technology | crime | politics | environment | entertainment | money
17,N017,disgust | anger | sadness | neutral,technology | environment | crime | health | entertainment
18,N018,anger | neutral,environment | entertainment | crime
19,N019,sadness | neutral,technology | politics | crime | environment | entertainment | money
20,N020,anger | joy | neutral,technology | environment | crime | health | entertainment | money
21,N021,disgust | anger | neutral,crime | entertainment | environment
22,N022,disgust | fear | sadness | neutral | anger,environment | crime | politics | health | entertainment | money
23,N023,sadness | joy | neutral,politics | crime | environment | entertainment | money
24,N024,disgust | fear | sadness | neutral,crime | environment | health | entertainment | money
25,N025,disgust | fear | neutral,crime | entertainment | money | environment
26,N026,anger | sadness | joy | neutral,technology | environment | crime | health | entertainment | money
27,N027,fear | neutral,environment | politics | crime | health | entertainment | money
28,N028,fear | sadness | joy | neutral | anger,crime | politics | environment | health | entertainment | money
29,N029,anger | joy | neutral,technology | crime | environment | politics | entertainment | money
30,N030,anger | fear | joy | neutral,technology | environment | crime | entertainment | money
31,N031,anger | surprise | neutral,crime | politics | environment | entertainment | money
32,N032,anger | neutral,technology | environment | crime | health | entertainment | money
33,N033,disgust | anger | surprise | neutral,crime | politics | environment | health | entertainment | money
34,N034,disgust | anger | joy | neutral,technology | environment | crime | health | entertainment | education | money
35,N035,disgust | anger | surprise | neutral,technology | crime | environment | health | entertainment | education | money
36,N036,anger | neutral,technology | environment | crime | entertainment | education | money
37,N037,anger | neutral,technology | environment | crime | entertainment | money
38,N038,sadness | joy | neutral,technology | politics | environment | crime | health | entertainment | money
39,N039,neutral,environment | entertainment | money | technology
40,N040,disgust | anger | sadness | neutral,technology | environment | crime | politics | entertainment | money
41,N041,disgust | sadness | fear | neutral,technology | crime | environment | entertainment | money
42,N042,sadness | neutral,sports | technology | environment | crime | health | entertainment
43,N043,anger | neutral,technology | environment | crime | entertainment | education | money
44,N044,anger | neutral,technology | environment | crime | politics | entertainment | money
45,N045,anger | neutral,technology | politics | environment | crime | entertainment | education | money
46,N046,disgust | anger | fear | neutral,crime | entertainment | money | environment
47,N047,anger | sadness | neutral,technology | crime | politics | environment | health | entertainment
48,N048,neutral,technology | environment | crime | entertainment | money
49,N049,disgust | neutral,technology | crime | politics | environment | entertainment | money
50,N050,anger | joy | neutral,environment | politics | crime | entertainment | money
51,N051,disgust | anger | fear | neutral,technology | crime | environment | health | entertainment
52,N052,sadness | fear | neutral,technology | politics | environment | crime | entertainment | education | money
53,N053,disgust | fear | neutral,technology | politics | environment | crime | health | entertainment | money
54,N054,anger | fear | neutral,crime | politics | environment | entertainment | money
55,N055,neutral,technology | crime | environment | entertainment | education | money
56,N056,anger | neutral,environment | entertainment | education | crime
57,N057,anger | joy | neutral,sports | crime | environment | entertainment | money
58,N058,anger | sadness | neutral,technology | crime | politics | environment | entertainment
59,N059,anger | sadness | neutral,crime | politics | environment | entertainment | education | money
60,N060,anger | sadness | neutral,environment | politics | crime | entertainment | money
