Doc,Emotions,Topics
N000,sadness,crime
N000,sadness,environment
N000,sadness,health
N000,sadness,entertainment
N000,sadness,money
N000,neutral,crime
N000,neutral,environment
N000,neutral,health
N000,neutral,entertainment
N000,neutral,money
N001,anger,technology
N001,anger,crime
N001,anger,environment
N001,anger,entertainment
N001,anger,money
N001,neutral,technology
N001,neutral,crime
N001,neutral,environment
N001,neutral,entertainment
N001,neutral,money
N002,anger,technology
N002,anger,environment
N002,anger,crime
N002,anger,health
N002,anger,entertainment
N002,anger,education
N002,anger,money
N002,sadness,technology
N002,sadness,environment
N002,sadness,crime
N002,sadness,health
N002,sadness,entertainment
N002,sadness,education
N002,sadness,money
N002,fear,technology
N002,fear,environment
N002,fear,crime
N002,fear,health
N002,fear,entertainment
N002,fear,education
N002,fear,money
N002,neutral,technology
N002,neutral,environment
N002,neutral,crime
N002,neutral,health
N002,neutral,entertainment
N002,neutral,education
N002,neutral,money
N003,anger,crime
N003,anger,entertainment
N003,anger,money
N003,anger,environment
N003,neutral,crime
N003,neutral,entertainment
N003,neutral,money
N003,neutral,environment
N004,anger,environment
N004,anger,politics
N004,anger,crime
N004,anger,health
N004,anger,entertainment
N004,anger,education
N004,anger,money
N004,fear,environment
N004,fear,politics
N004,fear,crime
N004,fear,health
N004,fear,entertainment
N004,fear,education
N004,fear,money
N004,neutral,environment
N004,neutral,politics
N004,neutral,crime
N004,neutral,health
N004,neutral,entertainment
N004,neutral,education
N004,neutral,money
N005,disgust,environment
N005,disgust,entertainment
N005,disgust,education
N005,disgust,crime
N005,anger,environment
N005,anger,entertainment
N005,anger,education
N005,anger,crime
N005,fear,environment
N005,fear,entertainment
N005,fear,education
N005,fear,crime
N005,neutral,environment
N005,neutral,entertainment
N005,neutral,education
N005,neutral,crime
N006,anger,technology
N006,anger,environment
N006,anger,crime
N006,anger,politics
N006,anger,entertainment
N006,anger,education
N006,anger,money
N006,fear,technology
N006,fear,environment
N006,fear,crime
N006,fear,politics
N006,fear,entertainment
N006,fear,education
N006,fear,money
N006,joy,technology
N006,joy,environment
N006,joy,crime
N006,joy,politics
N006,joy,entertainment
N006,joy,education
N006,joy,money
N006,neutral,technology
N006,neutral,environment
N006,neutral,crime
N006,neutral,politics
N006,neutral,entertainment
N006,neutral,education
N006,neutral,money
N007,anger,sports
N007,anger,technology
N007,anger,crime
N007,anger,politics
N007,anger,environment
N007,anger,health
N007,anger,entertainment
N007,anger,money
N007,neutral,sports
N007,neutral,technology
N007,neutral,crime
N007,neutral,politics
N007,neutral,environment
N007,neutral,health
N007,neutral,entertainment
N007,neutral,money
N008,sadness,crime
N008,sadness,politics
N008,sadness,environment
N008,sadness,entertainment
N008,sadness,money
N008,neutral,crime
N008,neutral,politics
N008,neutral,environment
N008,neutral,entertainment
N008,neutral,money
N009,anger,technology
N009,anger,environment
N009,anger,politics
N009,anger,crime
N009,anger,entertainment
N009,anger,money
N009,surprise,technology
N009,surprise,environment
N009,surprise,politics
N009,surprise,crime
N009,surprise,entertainment
N009,surprise,money
N009,neutral,technology
N009,neutral,environment
N009,neutral,politics
N009,neutral,crime
N009,neutral,entertainment
N009,neutral,money
N010,anger,technology
N010,anger,crime
N010,anger,environment
N010,anger,entertainment
N010,anger,education
N010,anger,money
N010,fear,technology
N010,fear,crime
N010,fear,environment
N010,fear,entertainment
N010,fear,education
N010,fear,money
N010,neutral,technology
N010,neutral,crime
N010,neutral,environment
N010,neutral,entertainment
N010,neutral,education
N010,neutral,money
N011,anger,technology
N011,anger,environment
N011,anger,politics
N011,anger,crime
N011,anger,health
N011,anger,entertainment
N011,anger,money
N011,neutral,technology
N011,neutral,environment
N011,neutral,politics
N011,neutral,crime
N011,neutral,health
N011,neutral,entertainment
N011,neutral,money
N012,sadness,technology
N012,sadness,crime
N012,sadness,politics
N012,sadness,environment
N012,sadness,entertainment
N012,surprise,technology
N012,surprise,crime
N012,surprise,politics
N012,surprise,environment
N012,surprise,entertainment
N012,joy,technology
N012,joy,crime
N012,joy,politics
N012,joy,environment
N012,joy,entertainment
N012,neutral,technology
N012,neutral,crime
N012,neutral,politics
N012,neutral,environment
N012,neutral,entertainment
N012,anger,technology
N012,anger,crime
N012,anger,politics
N012,anger,environment
N012,anger,entertainment
N013,anger,technology
N013,anger,crime
N013,anger,environment
N013,anger,entertainment
N013,anger,money
N013,neutral,technology
N013,neutral,crime
N013,neutral,environment
N013,neutral,entertainment
N013,neutral,money
N014,anger,crime
N014,anger,entertainment
N014,anger,environment
N014,fear,crime
N014,fear,entertainment
N014,fear,environment
N014,neutral,crime
N014,neutral,entertainment
N014,neutral,environment
N015,disgust,politics
N015,disgust,crime
N015,disgust,environment
